transaction_id,truck_id,payment_method_id,total,at,truck_name,truck_description,has_card_reader,fsa_rating,payment_method
64,1,2,700.0,2026-01-04 12:53:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
65,1,1,700.0,2026-01-04 12:53:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
66,1,1,700.0,2026-01-04 12:55:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
67,1,1,700.0,2026-01-04 12:57:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
68,1,2,700.0,2026-01-04 12:57:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
69,1,1,700.0,2026-01-04 12:58:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
70,1,1,700.0,2026-01-04 13:00:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
71,1,1,700.0,2026-01-04 13:00:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
72,1,2,700.0,2026-01-04 13:01:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
73,1,2,840.0,2026-01-04 13:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
74,1,1,700.0,2026-01-04 13:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
75,1,2,700.0,2026-01-04 13:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
76,1,1,1019.0,2026-01-04 13:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
77,1,1,700.0,2026-01-04 13:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
78,1,2,700.0,2026-01-04 13:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
79,1,1,700.0,2026-01-04 13:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
80,1,1,700.0,2026-01-04 13:03:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
81,1,2,700.0,2026-01-04 13:03:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
82,1,2,1050.0,2026-01-04 13:04:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
83,1,1,930.0,2026-01-04 13:05:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
84,1,1,700.0,2026-01-04 13:06:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
85,1,1,869.0,2026-01-04 13:06:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
86,1,2,700.0,2026-01-04 13:06:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
87,1,2,700.0,2026-01-04 13:07:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
88,1,1,960.0,2026-01-04 13:08:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
89,1,2,700.0,2026-01-04 13:09:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
90,1,1,980.0,2026-01-04 13:10:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
91,1,1,700.0,2026-01-04 13:10:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
92,1,1,700.0,2026-01-04 13:10:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
93,1,1,1050.0,2026-01-04 13:11:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
94,1,1,700.0,2026-01-04 13:11:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
95,1,2,700.0,2026-01-04 13:12:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
96,1,2,700.0,2026-01-04 13:13:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
97,1,2,700.0,2026-01-04 13:13:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
98,1,2,700.0,2026-01-04 13:13:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
99,1,2,700.0,2026-01-04 13:14:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
100,1,2,700.0,2026-01-04 13:14:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
101,1,1,700.0,2026-01-04 13:14:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
102,1,2,700.0,2026-01-04 13:14:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
103,1,1,910.0,2026-01-04 13:16:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
104,1,2,700.0,2026-01-04 13:16:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
105,1,1,960.0,2026-01-04 13:16:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
106,1,1,700.0,2026-01-04 13:16:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
107,1,2,700.0,2026-01-04 13:17:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
108,1,2,700.0,2026-01-04 13:17:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
109,1,2,700.0,2026-01-04 13:17:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
110,1,2,700.0,2026-01-04 13:18:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
111,1,2,1019.0,2026-01-04 13:19:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
112,1,1,700.0,2026-01-04 13:20:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
113,1,2,700.0,2026-01-04 13:21:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
114,1,2,980.0,2026-01-04 13:23:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
115,1,1,700.0,2026-01-04 13:24:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
116,1,1,700.0,2026-01-04 13:24:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
117,1,1,700.0,2026-01-04 13:24:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
118,1,1,700.0,2026-01-04 13:24:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
119,1,1,700.0,2026-01-04 13:24:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
120,1,1,700.0,2026-01-04 13:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
121,1,2,700.0,2026-01-04 13:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
122,1,1,1050.0,2026-01-04 13:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
123,1,2,800.0,2026-01-04 13:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
124,1,2,700.0,2026-01-04 13:26:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
125,1,1,700.0,2026-01-04 13:26:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
126,1,2,700.0,2026-01-04 13:26:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
127,1,1,700.0,2026-01-04 13:27:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
128,1,1,700.0,2026-01-04 13:28:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
129,1,1,700.0,2026-01-04 13:29:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
130,1,1,700.0,2026-01-04 13:30:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
131,1,1,700.0,2026-01-04 13:30:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
132,1,2,869.0,2026-01-04 13:30:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
133,1,1,700.0,2026-01-04 13:30:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
134,1,2,700.0,2026-01-04 13:31:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
135,1,2,700.0,2026-01-04 13:32:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
136,1,1,700.0,2026-01-04 13:32:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
137,1,1,700.0,2026-01-04 13:33:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
138,1,1,700.0,2026-01-04 13:34:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
139,1,1,910.0,2026-01-04 13:34:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
140,1,1,700.0,2026-01-04 13:35:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
141,1,1,700.0,2026-01-04 13:35:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
142,1,1,700.0,2026-01-04 13:35:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
143,1,1,700.0,2026-01-04 13:35:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
144,1,1,700.0,2026-01-04 13:37:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
145,1,1,700.0,2026-01-04 13:38:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
146,1,1,700.0,2026-01-04 13:39:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
147,1,1,700.0,2026-01-04 13:40:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
148,1,1,700.0,2026-01-04 13:41:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
149,1,2,700.0,2026-01-04 13:42:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
150,1,1,700.0,2026-01-04 13:43:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
151,1,1,700.0,2026-01-04 13:43:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
152,1,2,1030.0,2026-01-04 13:43:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
153,1,1,700.0,2026-01-04 13:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
154,1,1,700.0,2026-01-04 13:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
155,1,1,700.0,2026-01-04 13:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
156,1,1,700.0,2026-01-04 13:45:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
157,1,1,700.0,2026-01-04 13:45:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
158,1,1,700.0,2026-01-04 13:45:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
159,1,1,700.0,2026-01-04 13:45:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
160,1,1,700.0,2026-01-04 13:45:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
161,1,2,700.0,2026-01-04 13:46:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
162,1,2,700.0,2026-01-04 13:47:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
163,1,1,1019.0,2026-01-04 13:47:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
164,1,2,700.0,2026-01-04 13:48:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
165,1,1,700.0,2026-01-04 13:49:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
166,1,2,700.0,2026-01-04 13:50:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
167,1,1,700.0,2026-01-04 13:50:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
168,1,2,950.0,2026-01-04 13:50:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
169,1,2,830.0,2026-01-04 13:51:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
170,1,2,700.0,2026-01-04 13:51:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
171,1,1,700.0,2026-01-04 13:52:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
172,1,2,700.0,2026-01-04 13:53:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
173,1,2,700.0,2026-01-04 13:54:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
174,1,2,700.0,2026-01-04 13:55:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
175,1,2,910.0,2026-01-04 13:55:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
176,1,2,940.0,2026-01-04 13:56:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
177,1,1,819.0,2026-01-04 13:57:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
178,1,2,850.0,2026-01-04 13:58:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
179,1,1,830.0,2026-01-04 13:59:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
180,1,1,700.0,2026-01-04 13:59:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
181,1,1,700.0,2026-01-04 14:00:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
182,1,2,919.0,2026-01-04 14:00:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
183,1,2,700.0,2026-01-04 14:01:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
184,1,2,700.0,2026-01-04 14:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
185,1,2,880.0,2026-01-04 14:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
186,1,1,700.0,2026-01-04 14:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
187,1,1,700.0,2026-01-04 14:03:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
188,1,2,980.0,2026-01-04 14:04:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
189,1,1,700.0,2026-01-04 14:05:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
190,1,1,700.0,2026-01-04 14:06:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
191,1,2,700.0,2026-01-04 14:06:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
192,1,2,950.0,2026-01-04 14:07:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
193,1,2,700.0,2026-01-04 14:07:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
194,1,1,700.0,2026-01-04 14:07:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
195,1,1,700.0,2026-01-04 14:08:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
196,1,2,700.0,2026-01-04 14:09:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
197,1,1,700.0,2026-01-04 14:09:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
198,1,1,990.0,2026-01-04 14:09:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
199,1,1,860.0,2026-01-04 14:10:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
200,1,2,919.0,2026-01-04 14:10:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
201,1,2,940.0,2026-01-04 14:11:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
202,1,2,700.0,2026-01-04 14:11:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
203,1,1,1060.0,2026-01-04 14:12:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
204,1,2,810.0,2026-01-04 14:12:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
205,1,1,980.0,2026-01-04 14:13:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
206,1,1,700.0,2026-01-04 14:14:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
207,1,2,700.0,2026-01-04 14:15:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
208,1,2,700.0,2026-01-04 14:16:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
209,1,1,700.0,2026-01-04 14:17:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
210,1,2,950.0,2026-01-04 14:17:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
211,1,1,700.0,2026-01-04 14:18:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
212,1,2,700.0,2026-01-04 14:19:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
213,1,1,960.0,2026-01-04 14:20:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
214,1,1,700.0,2026-01-04 14:20:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
215,1,1,700.0,2026-01-04 14:21:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
216,1,1,890.0,2026-01-04 14:22:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
217,1,1,700.0,2026-01-04 14:22:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
218,1,2,700.0,2026-01-04 14:24:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
219,1,2,700.0,2026-01-04 14:24:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
220,1,2,700.0,2026-01-04 14:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
221,1,2,700.0,2026-01-04 14:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
222,1,1,1030.0,2026-01-04 14:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
223,1,2,1030.0,2026-01-04 14:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
224,1,2,700.0,2026-01-04 14:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
225,1,2,930.0,2026-01-04 14:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
226,1,1,700.0,2026-01-04 14:26:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
227,1,2,1000.0,2026-01-04 14:26:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
228,1,2,700.0,2026-01-04 14:26:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
229,1,2,1000.0,2026-01-04 14:27:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
230,1,2,960.0,2026-01-04 14:28:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
231,1,2,700.0,2026-01-04 14:29:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
232,1,1,700.0,2026-01-04 14:29:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
233,1,1,810.0,2026-01-04 14:30:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
234,1,2,850.0,2026-01-04 14:31:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
235,1,2,700.0,2026-01-04 14:32:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
236,1,1,700.0,2026-01-04 14:32:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
237,1,2,700.0,2026-01-04 14:33:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
238,1,2,1080.0,2026-01-04 14:34:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
239,1,1,930.0,2026-01-04 14:35:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
240,1,1,700.0,2026-01-04 14:35:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
241,1,2,700.0,2026-01-04 14:36:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
242,1,1,850.0,2026-01-04 14:37:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
243,1,1,1030.0,2026-01-04 14:37:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
244,1,2,700.0,2026-01-04 14:38:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
245,1,2,700.0,2026-01-04 14:39:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
246,1,1,700.0,2026-01-04 14:40:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
247,1,2,700.0,2026-01-04 14:41:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
248,1,1,700.0,2026-01-04 14:42:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
249,1,2,700.0,2026-01-04 14:43:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
250,1,2,700.0,2026-01-04 14:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
251,1,2,700.0,2026-01-04 14:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
252,1,2,700.0,2026-01-04 14:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
253,1,1,700.0,2026-01-04 14:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
254,1,1,700.0,2026-01-04 14:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
255,1,2,700.0,2026-01-04 14:45:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
256,1,2,1040.0,2026-01-04 14:46:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
257,1,2,700.0,2026-01-04 14:47:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
258,1,2,700.0,2026-01-04 14:47:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
259,1,2,700.0,2026-01-04 14:47:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
260,1,2,700.0,2026-01-04 14:48:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
261,1,2,700.0,2026-01-04 14:48:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
262,1,1,700.0,2026-01-04 14:48:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
263,1,1,1019.0,2026-01-04 14:49:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
264,1,2,700.0,2026-01-04 14:49:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
265,1,2,700.0,2026-01-04 14:50:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
266,1,2,700.0,2026-01-04 14:51:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
267,1,2,700.0,2026-01-04 14:51:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
268,1,2,700.0,2026-01-04 14:52:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
269,1,2,700.0,2026-01-04 14:52:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
270,1,2,700.0,2026-01-04 14:52:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
271,1,2,819.0,2026-01-04 14:53:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
272,1,1,1080.0,2026-01-04 14:53:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
273,1,1,700.0,2026-01-04 14:54:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
274,1,2,1010.0,2026-01-04 14:54:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
